не ходи на курсы толку мало от них если тебе прям очень нужно я тебе расскажу куда лучше пойти,1
класно я померилась со своей лучшой подругой насть это я про тебя блин у нас с ней столько много воспоминаний ахахаха,1
сплю на трёх подушках и укрываюсь двумя одеялами а всё потому что кровать огромная а спать на ней не с кем,0
ненавижу красные светофоры сидишь наблюдаешь как по секундам утекает жизнь в никуда,0
так понятно но нет человека нет проблем нужно уметь прекращать общение вовремя или убивать,1
я чувствую это долгожданное лето будет для нас очень счастливым и веселым друзья,1
услышала по радио что в минске нехватает уборщиков теперь я знаю на какую работу меня точно возьмут,1
тут дело вумственное ежели будед один дома не вытерпит нажреццо зачоркнуто мявкнет чо нить,1
романцев тихонов и львов снимают в тюбетейке программу для сэ тв интересно что получится,1
надеюсь не будет просто я себя хорошо чувствую не вижу смысла в больницу ложиться только если к тебе за компанию,1
всёёёё началась пора ав на пшеничных и подсолнечных полях,1
надо н сегодня я опять упустила возможность не успела оглянуться он с какой то девкой левой,0
познакомимся дима москва ищу девушку цель знакомства провести вечер ищу не нада стеснений,1
как же мне надоел этот долбаный контакт не могу выложить нечего ни фото ни видео ни могу поменять аватарку,0
сижу отслушиваю свежую музычку для видеообзоров зуб мудрости индикатор если его сводит и он начинает неистово ныть значит в топку,1
кого бы тебе хотелось поскорее встретить я хотела бы папу вообще встретить,0
япошки жжут представила концепт подушки безопасности для смартфона,1
хорошие девочки говорят нет остановись,1
классно вечеринка в клубе в какого бал так поздно мама теперь убьет деньги за бронь платья в воздух,0
у меня нету учебы кисоньки мои у меня ноут отобрал бывший и мы фильмы втыкали,1
эмм неожиданно но спасибо,1
нас хотели разозлить разбудив по раньше но мы выспались и реакции которую они ождали не выявилось,1
чтобы завоевать сердце девушки нужно спасти ее от негра неумеющего водить жаль что цветочки кино внимание и забота уже не работают,0
у меня вообще все сваливают к родственникам в россию так что одна остаюсь надеюсь что кто то будет со мной в ночи,1
а что если у шерлока был брат близнец и он умер или был тяжело болен и сиганул с крыши вместо шерлока о о,0
прохожу соло на клавиатуре брр пожалуй самая мозговзрывающая программа с которой я когда либо имел дело однако,1
фестиваль в москве проходит ежегодно на праздник николая чудотворца и сергиеву посаду тоже достается солнечной италии,1
ну вот и пришла пора немного отвлечься от повседневной суеты и работы да и вообще от мск настроение конечно честно не особо,0
в парке сокольники половина посетителей из средней азии празднуют нг это пипец с такой политикой власти хочется им задать воп,0
ураааа гуляяять бегущий город по нашему району бегает кучу хороших знакомых можно встретить,1
это моя самая любимая книга я ее раз читала и все пять раз плакала в три ручья,0
начинай сначала все по порядку я могу подталкивать вопросами просто сама не могу без вопросов рассказывать,1
сидим мы такие я и мое одиночество звонит ольга и говорит что ей негде ночевать поэтому сегодня нас четверо,1
срочно фоторобот лиц подозреваемых в теракте в волгограде,0
послушай правда не знаю понравится тебе или нет на любителя группа но большинству нравится,1
я давно хотел им заняться но не знаю получится ли самостоятельно логично а чего не уйдешь о о,1
год играл за саратовский автодор знаю и имел дело со всей жесткостью президента клуба на месте игроков автодора я бы тоже так носился,1
первая ассоциация мистер картофелина х да полноте ньют мужык мужычина настоящим мужыкам даже пвакать можно х,1
свендсен конечно молодец но жалко что у наших мальчиков сегодня не совсем все получается смотрим и болеем дальше,0
я на служении любимой церкви молились о украине все будет супер,1
мама не отпустила за подарками в магазины хотя вчера разрешила логичная логика у этой женщины,0
было дело воспоминания смотрю старые фотки с и ржеееееем,1
фотку из инста с моим комментарием где нати встала на колени перед залом добавили в оф группу моя маленькая победа,1
вот почему когда он заходит в асю я начинаю тупить по полной когда читаю историю наших сообщений мне становится очень стыдно он навер,0
угу он умничка с головой дружит и умеет сдерживаться еще парочка лет и они вообще заматереют будут теми еще волчарами,1
очень странно и непонятно быть в наших с вами местах родные и хотить нашимм путями с чужими людьми и жемчужина пустая,0
бабушка луи успела снятся в фильме но до премьеры не дожила,0
помню когда мне плохо стало мама прямо с уроков меня забрала и в больницу повезла а там врач такая была странная,0
завтра с утра за ноутом и очками блин завтра ж еще и замена у меня ну да ладно покажу детям картинки или фильмец,1
я ни одной новой серии еще не видела а тут еще торыч в вк вечно репостит себе и ты в твиттере хд,0
сегодня у банкомата понял теперь ощущение нового года приходит ко мне когда при запросе баланса на экране высвечивается сумма к,0
лучший подарок подарок своими руками только купюры не надо рисовать поделочка,1
я бы писоединилась но мои руки слишком мерзкие что бы их фоткать быть,0
потому что я очень красива в меня пол города влюблено а я видишь тебе пи,1
сегодня утром в школе свет выключали такая темнота была все бегали и орали слава тебе господи ну потом включили с,1
